id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus_tbc,satuan,tahun
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,Kaliwedi,32.09.29,KALIWEDI,KALIWEDI,PRIA,28,ORANG,2022
181,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,WALED,WANITA,21,ORANG,2022
182,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,CIBOGO,WANITA,16,ORANG,2022
183,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,Pasaleman,32.09.32,PASALEMAN,PASALEMAN,WANITA,17,ORANG,2022
184,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,Ciledug,32.09.02,CILEDUG,CILEDUG,WANITA,42,ORANG,2022
185,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209021,Pabuaran,32.09.33,PABUARAN,PABUARAN,WANITA,19,ORANG,2022
186,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,LOSARI,WANITA,17,ORANG,2022
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209030,Losari,32.09.03,LOSARI,ASTANALANGGAR,WANITA,12,ORANG,2022
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,PABEDILAN,WANITA,14,ORANG,2022
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209031,Pabedilan,32.09.04,PABEDILAN,KALIMUKTI,WANITA,16,ORANG,2022
190,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,BABAKAN,WANITA,41,ORANG,2022
191,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209040,Babakan,32.09.05,BABAKAN,GEMBONGAN,WANITA,17,ORANG,2022
192,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,GEBANG,WANITA,18,ORANG,2022
193,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209041,Gebang,32.09.30,GEBANG,KALIMARO,WANITA,12,ORANG,2022
194,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209050,Karangsembung,32.09.06,KARANGSEMBUNG,KARANGSEMBUNG,WANITA,15,ORANG,2022
195,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209051,Karangwareng,32.09.34,KARANGWARENG,KUBANGDELEG,WANITA,21,ORANG,2022
196,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,Lemahabang,32.09.07,LEMAHABANG,SINDANGLAUT,WANITA,37,ORANG,2022
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,Susukanlebak,32.09.08,SUSUKAN LEBAK,SUSUKANLEBAK,WANITA,31,ORANG,2022
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,Sedong,32.09.09,SEDONG,SEDONG,WANITA,42,ORANG,2022
199,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,ASTANAJAPURA,WANITA,27,ORANG,2022
200,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,Astanajapura,32.09.10,ASTANAJAPURA,SIDAMULYA,WANITA,43,ORANG,2022
201,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,Pangenan,32.09.11,PANGENAN,PANGENAN,WANITA,20,ORANG,2022
202,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,MUNDU,WANITA,16,ORANG,2022
203,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,Mundu,32.09.12,MUNDU,PAMENGKANG,WANITA,20,ORANG,2022
204,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,Beber,32.09.13,BEBER,BEBER,WANITA,18,ORANG,2022
205,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,KAMARANG,WANITA,20,ORANG,2022
206,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,Greged,32.09.38,GREGED,NANGGELA,WANITA,32,ORANG,2022
207,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,TALUN,WANITA,16,ORANG,2022
208,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,Talun,32.09.14,TALUN,CIPERNA,WANITA,4,ORANG,2022
209,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SUMBER,WANITA,17,ORANG,2022
210,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,WATUBELAH,WANITA,13,ORANG,2022
211,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,Sumber,32.09.15,SUMBER,SENDANG,WANITA,10,ORANG,2022
212,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,DUKUPUNTANG,WANITA,22,ORANG,2022
213,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,Dukupuntang,32.09.16,DUKUPUNTANG,SINDANGJAWA,WANITA,3,ORANG,2022
214,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,PALIMANAN,WANITA,16,ORANG,2022
215,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,Palimanan,32.09.17,PALIMANAN,KEPUH,WANITA,7,ORANG,2022
216,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,PLUMBON,WANITA,28,ORANG,2022
217,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,LURAH,WANITA,5,ORANG,2022
218,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,Depok,32.09.31,DEPOK,WARUROYOM,WANITA,27,ORANG,2022
219,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,Weru,32.09.19,WERU,KARANGSARI,WANITA,12,ORANG,2022
220,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PLERED,WANITA,28,ORANG,2022
221,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PANGKALAN,WANITA,14,ORANG,2022
222,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,Tengah Tani,32.09.35,TENGAH TANI,TENGAHTANI,WANITA,34,ORANG,2022
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,Kedawung,32.09.20,KEDAWUNG,KEDAWUNG,WANITA,24,ORANG,2022
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,GUNUNGJATI,WANITA,19,ORANG,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,MAYUNG,WANITA,12,ORANG,2022
226,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,Kapetakan,32.09.22,KAPETAKAN,KEDATON,WANITA,11,ORANG,2022
227,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,Suranenggala,32.09.39,SURANENGGALA,SURANENGGALA,WANITA,21,ORANG,2022
228,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,KLANGENAN,WANITA,30,ORANG,2022
229,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,BANGODUA,WANITA,8,ORANG,2022
230,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,Jamblang,32.09.40,JAMBLANG,JAMBLANG,WANITA,22,ORANG,2022
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,Arjawinangun,32.09.24,ARJAWINANGUN,TEGAL GUBUG,WANITA,22,ORANG,2022
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,Panguragan,32.09.25,PANGURAGAN,PANGURAGAN,WANITA,19,ORANG,2022
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,Ciwaringin,32.09.26,CIWARINGIN,CIWARINGIN,WANITA,15,ORANG,2022
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,WINONG,WANITA,7,ORANG,2022
235,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,GEMPOL,WANITA,10,ORANG,2022
236,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,SUSUKAN,WANITA,14,ORANG,2022
237,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,BUNDER,WANITA,7,ORANG,2022
238,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,GEGESIK,WANITA,8,ORANG,2022
239,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,JAGAPURA,WANITA,19,ORANG,2022
240,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,Kaliwedi,32.09.29,KALIWEDI,KALIWEDI,WANITA,14,ORANG,2022
