id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus_tbc,satuan,tahun
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,PLUMBON,PRIA,56,ORANG,2021
37,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,Plumbon,32.09.18,PLUMBON,LURAH,PRIA,4,ORANG,2021
38,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,Depok,32.09.31,DEPOK,WARUROYOM,PRIA,17,ORANG,2021
39,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,Weru,32.09.19,WERU,KARANGSARI,PRIA,18,ORANG,2021
40,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PLERED,PRIA,15,ORANG,2021
41,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,Plered,32.09.36,PLERED,PANGKALAN,PRIA,13,ORANG,2021
42,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,Tengah Tani,32.09.35,TENGAH TANI,TENGAHTANI,PRIA,24,ORANG,2021
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,Kedawung,32.09.20,KEDAWUNG,KEDAWUNG,PRIA,13,ORANG,2021
44,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,GUNUNGJATI,PRIA,15,ORANG,2021
45,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,Gunungjati,32.09.21,GUNUNG JATI,MAYUNG,PRIA,6,ORANG,2021
46,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,Kapetakan,32.09.22,KAPETAKAN,KEDATON,PRIA,32,ORANG,2021
47,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,Suranenggala,32.09.39,SURANENGGALA,SURANENGGALA,PRIA,25,ORANG,2021
48,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,KLANGENAN,PRIA,23,ORANG,2021
49,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,Klangenan,32.09.23,KLANGENAN,BANGODUA,PRIA,10,ORANG,2021
50,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209191,Jamblang,32.09.40,JAMBLANG,JAMBLANG,PRIA,17,ORANG,2021
51,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209200,Arjawinangun,32.09.24,ARJAWINANGUN,TEGAL GUBUG,PRIA,32,ORANG,2021
52,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209201,Panguragan,32.09.25,PANGURAGAN,PANGURAGAN,PRIA,16,ORANG,2021
53,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209210,Ciwaringin,32.09.26,CIWARINGIN,CIWARINGIN,PRIA,5,ORANG,2021
54,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,WINONG,PRIA,5,ORANG,2021
55,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209211,Gempol,32.09.37,GEMPOL,GEMPOL,PRIA,5,ORANG,2021
56,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,SUSUKAN,PRIA,14,ORANG,2021
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209220,Susukan,32.09.27,SUSUKAN,BUNDER,PRIA,16,ORANG,2021
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,GEGESIK,PRIA,12,ORANG,2021
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209230,Gegesik,32.09.28,GEGESIK,JAGAPURA,PRIA,18,ORANG,2021
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209231,Kaliwedi,32.09.29,KALIWEDI,KALIWEDI,PRIA,15,ORANG,2021
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,WALED,WANITA,9,ORANG,2021
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209010,Waled,32.09.01,WALED,CIBOGO,WANITA,13,ORANG,2021
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209011,Pasaleman,32.09.32,PASALEMAN,PASALEMAN,WANITA,9,ORANG,2021
